Return,Shortfall
0.000446697,0.0202651
0.000881269,0.0355407
0.000446697,0.0202651
0.000867775,0.0348649
0.000867156,0.0341559
0.000464415,0.0203762
0.000638794,0.0231837
0.000669079,0.0242736
0.000723772,0.0263598
0.000502,0.0207494
0.000714188,0.0259793
0.000876825,0.0351576
0.00066008,0.0240513
0.000585887,0.0218872
0.000513987,0.0208002
0.000573461,0.0217895
0.000752124,0.0278322
0.000646902,0.0235573
0.000621115,0.0227351
0.000706516,0.0257008
0.00069098,0.0250311
0.000674901,0.0244865
0.000492273,0.0206168
0.000759189,0.0280813
0.000630181,0.0229496
0.000562432,0.0215331
0.000697416,0.0253074
0.000468091,0.0204925
0.000814522,0.0308368
0.000605557,0.0223126
0.000718959,0.0261592
0.000728777,0.0267653
0.00074859,0.0276013
0.000794152,0.0297891
0.00052092,0.0209522
0.000737025,0.0269374
0.000611523,0.0224763
0.000798807,0.0299919
0.000838632,0.0324046
0.000481996,0.020496
0.000567368,0.0216711
0.000808718,0.0306361
0.000533941,0.0210954
0.000852292,0.0332249
0.00061626,0.0225929
0.000862097,0.0340663
0.000828601,0.0318505
0.000766106,0.0284089
0.000762702,0.028226
0.000599519,0.0221743
0.000741655,0.0271109
0.000848146,0.0330297
0.000822336,0.0313166
0.00080095,0.0301988
0.000591907,0.0220133
0.000553246,0.0214105
0.000680702,0.0246743
0.000686503,0.0248717
0.000879047,0.0353484
0.000632575,0.0230957
0.000841432,0.0326825
0.000769804,0.0285487
0.000746075,0.0273574
0.000815337,0.0311319
0.000545693,0.0212798
0.00083543,0.0322452
0.000775651,0.0288126
0.000791121,0.0295817
0.000650286,0.0236264
0.000485613,0.0205221
0.000803825,0.0303634
0.000704266,0.0255042
0.000655284,0.0238809
0.000771123,0.0287484
0.000783945,0.0292282
0.000824981,0.0316161
0.0008041,0.0305678
0.000789291,0.0294693
0.000845904,0.0328965
0.000701159,0.0254133
0.000816853,0.0312616
0.000653326,0.0238182
0.000786469,0.029303
0.000595722,0.022089
0.000861057,0.0337785
0.00083252,0.0321251
0.000830754,0.031994
0.000742454,0.0273016
0.000551457,0.0213723
0.000822693,0.0316069
0.000541993,0.0212015
0.000853869,0.033426
0.000857245,0.0335354
0.000780983,0.0290345
0.000860412,0.0337081
0.000843962,0.032735
0.000527307,0.0209949
0.000730995,0.0268289
0.000528668,0.0210349
0.000779035,0.0289644
